Company Name,data_id,type,service_options,Overall Rating,Overall Address,Overall Reviews,parameter,place_id,Review,Engine,Rating,date,User Name,User Friends,User Photos,User Reviews,User Likes,New Detection,Fraud Detection,Fraud Review Detector,SIA NEG,SIA NEU,SIA POS,SIA COMPOUND,twitter NEG,twitter NEU,twitter POS
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"This place is nothing but a scam, they will lie and steal from the elderly,the owner is a joke ,took my parents for a lot of money ,the cable lady came to install the stuff out her own password in so it wouldn't work,the alarm was 17 grand for 2 cheap ass cameras,1 keypad and it never worked,they are scammers,run away from this company it's a joke the owner won't ever call back or answer calls",Yelp,1.0,2024-10-15T21:48:51Z,Robert T.,0.0,0.0,3,,OR,App is Fraud,The review entered is Legitimate.,0.101,0.717,0.181,,0.96971625,0.026791416,0.003492355
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"I'm a former employee and if I could go lower than 1 star I would. It's a scam and a lie. I left cause I was told I had to lie to my customers about prices plus the owner asked me to question my moral compass. As a tech each week I was only bring home about $300-$400, I never got paid overtime and I never got got reimbursement for gas. One night the boss bought tickets for a live game for everyone that wasn't working but i was still working till 9p.m. way past closing hours and received nothing. They target the older people and everything that's installed is Walmart brand. Christian likes to spend all your money luxury cars and cosmetic surgeries. The only plus side is I got to meet some amazing people that I couldn't lie to.",Yelp,1.0,2024-10-11T00:57:57Z,Tanis,0.0,0.0,1,,OR,App is Not Fraud,The review entered is Legitimate.,0.03,0.903,0.067,,0.56281865,0.32918993,0.107991435
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"It is a flim-flam operation.  I was told verbally that the cost would be $1,700.  But, what they surreptitiously had me sign for was actually $17,000.  Somehow an extra zero was sneaked into the note for which I was signing.  I have had trouble with the security cameras that were installed and cannot get anyone from Precision Home Pros to respond to my calls.  The emergency alarm works on my control panel in my home but I receive no response from the monitoring company.  Twice I have accidently set off the alarm by accidently pressing the button on my neck device.  Once in my sleep and once when I was holding a heavy weight close to my body.  All I got was an email acknowledgement, no police or ambulance response.  Bottom line is that Precision Home Pros has all of the earmarks of being a scam.",Yelp,1.0,2024-10-08T17:09:17Z,Bill M.,0.0,0.0,2,,OR,App is Not Fraud,The review entered is Legitimate.,0.154,0.826,0.02,,0.8675286,0.121765435,0.010705981
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"The owner of the company called and assisted me right away.  Thank you

The repair Tech Tyler was outstanding and very professional.  Took care of the problem.   Excellent job!",Yelp,5.0,2023-10-17T16:34:17Z,Christian E.,0.0,0.0,6,,OR,App is Not Fraud,The review entered is Legitimate.,0.066,0.59,0.343,,0.0043315785,0.024348874,0.97131956
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,Great Service! Were happy with the outcome of the program and the customer service!  Theyve been very helpful and courteous.,Yelp,5.0,2024-03-14T18:51:43Z,Cindy S.,0.0,0.0,1,,OR,App is Not Fraud,The review entered is Legitimate.,0.0,0.515,0.485,,0.0012448996,0.008462624,0.9902925
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"IMHO, scam, scam, scam. 

They'll try and trick you into giving them tons of money and then threaten to sue you.",Yelp,1.0,2023-04-24T16:47:49Z,DISLEX f.,1.0,0.0,2,,OR,App is Fraud,The review entered is Legitimate.,0.461,0.464,0.074,,0.8477194,0.14286222,0.009418425
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"What can I say but my husband and I don't usually fall for scams. BUT WE DID.  
This service was presented to us as a savings program for TV, cable and cell phones.   Guaranteeing lower costs on all of these services. Saving you $ on your bills every month.  Get rid of your current cable and go with  T-mobile and you tube Tv.   And they pay you cell phones off.  PLUS you get a home security system.   Which sounds great.  
They did pay my phone off.  Which was a good thing. BUIn the long run you will end up paying much more than that. 
1.  There was no contract presented to you. It was a phone call from owner asking you to agree to certain terms.  They didn't bother to disclose some important info.  
2.   You set up a payment plan of $85.01 per month for the home security system.  No Disclosure that this system 
Was being financed at an interest rate of 9.99% of which you end up paying the interest of $7000 for the first 7 years, then after 7 more years, you start paying the principal for 7 years.  
THE SCAM FOLKS is :::   You are paying 
$14,000.00 for your home security security system. 
3.   Plus, another non disclosure - $ 28.00 a monthly service fee from precision home pros.  So, over$120 a month for 14 years.",Yelp,1.0,2022-11-08T15:19:42Z,Bonnie D.,48.0,0.0,4,,OR,App is Not Fraud,The review entered is Fraudulent.,0.088,0.755,0.156,,0.1699336,0.40461075,0.42545566
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"Don't make my mistake. They Bait you with dropping your cable bill, then Switch you to buying an overpriced security system. On Jan 10, 2023, as I left a local grocery store I was approached by a representative of Precision Home Pros,  offering to lower my cable bill. He said they could be at my house in 2 hours to review the options. At my house, they explained how dropping cable and streaming TV instead would save me  $200 a month. I realized later PHP had no special discounts or authority with the internet providers. Any customer could get those deals. BUT, they told me, that PHP's deal included a home security system! This was the first time a security system was mentioned. I now know this was the only reason they were there, to sell me an overpriced security system. They asked me to do a credit app to see if I qualified for this great deal. I was assured, it's just the routine way we do it. They never asked if I needed a loan or would rather pay cash. They never showed a list of equipment that was included or discuss any details of the security system. They insisted on getting it done that night, which meant installing it outside in the dark. After they left, I printed the contract which I eSigned on a mobile phone. I was shocked to see I had signed a loan for $17,000 for 10 years at 9.99% APR for a total payback of $26,000! The plan was, the $200 they saved me monthly by dropping my cable services, would cover the monthly payment for the security system that I did not need. I searched online at a big box retailer and found the exact same Eufy components they had installed for a total of $1,346. A markup of over $15,000! The next morning I delivered a cancellation letter in person and sent them certified mail. I knew in these circumstances Texas law provides a ""3 Day Cool Down Window."" However, the owner is refusing,  saying I can only cancel the alarm monitoring, that I was stuck with the $17,000 loan for the $1,345 of equipment. I uninstalled and returned the equipment. The bank is asking for payment. The bank investigated but PHP told them I did not cancel or return equipment. Not true. Bad business.  I will not pay a dime. PHP needs to refund the money to the bank.",Yelp,1.0,2023-07-08T22:18:18Z,Dave S.,101.0,0.0,3,,OR,App is Not Fraud,The review entered is Fraudulent.,0.063,0.821,0.116,,0.57190305,0.3653029,0.06279408
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"Do NOT get scammed by these people like I did!  The system is cheap, they sign you up to pay for 10 years! The camera's do not work more than 2 or 3 days at a time.  They come out to service them at first, then ignore your calls after that.
Planning to get a lawyer involved to cancel this contract.",Yelp,1.0,2022-09-21T15:36:41Z,Carole H.,0.0,0.0,1,,OR,App is Not Fraud,The review entered is Legitimate.,0.106,0.853,0.041,,0.9204781,0.07305077,0.006471044
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,STOP...Do not sign up for this service it is a huge bait and switch scam. They will promise you all kind of things and not follow through. Please read the other reviews and do not sign anything,Yelp,1.0,2023-05-03T23:05:06Z,Terrilynn M.,23.0,0.0,2,,OR,App is Not Fraud,The review entered is Legitimate.,0.134,0.757,0.109,,0.94861275,0.046967395,0.0044198977
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"I was a victim of this company.  See the other reviews.  That is what happened to me.  They pretend that they are saving you money on internet and TV and phones.  The phone service was lousy and you had to get an app to listen to your voice messages.  They said that oh, you will get a security system for the $100 a month you are saving on your other services.  You were not given any contract at the time.  They sent it through email the day after.  If you did not read it within 2 days and cancel it you were paying $9600. For the security system at 9.99 percent interest which means you are paying over $16,000. For a security system that others companies are selling for around $1000.  I was a victim of this scam.  I went to the police but they said that there was no crime involved and they could not help.  I just sold my house and called them to cancel my monthly monitoring, which I was paying $24.64 a month for.  I was told that the contract required 5 years for monitoring and that I owed all of the money for the 5 years plus a $500. Cancellation fee, which came to an additional $1749.44.  I was threatened with breach of contract by Chris, the owner, and he said he would file a lien against me for the whole contract amount even though I had paid off the $9600 the security contract stated was the price.  This company is taking advantage of many people and they need to be stopped.  I hope this will prevent someone else from going through this nightmare.  Please call me at 512-508-1707 if you are a victim so we can stop this company from doing this to others.",Yelp,1.0,2023-01-01T01:54:02Z,Cathy S.,1.0,0.0,2,,OR,App is Not Fraud,The review entered is Fraudulent.,0.114,0.819,0.066,,0.85999084,0.12980841,0.0102006905
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"Dont do it. don't let them talk you into their home security system, TV streaming service or anything else. They make promises of services and incentives and don't provide them. The salesman stopped me in Walmart and asked what phone service and internet service I used.he told me he could lower my bill and provide a security system as well for less than I was currently payin for phone and cable. he offered a $125 gift card if I would let them come out. I did. they convinced me to change Tv providers and buy their security system My phone would remain with my current carrier but they would pay off the phone.No gift car; no phone payoff occured. The security system has had problems since day one. I called and called customer service and was always told someone would return my calls. Nope. Not until I got an answering machine and left an angry message that I wanted to cancel everything did I get a response. The owner called and assured me all would be fixed. Tech came out, said the wrong sensors were used and put up new ones. Three of my 5 doors are still showing a malfunction. Called customer service a month ago. Still no response. Im paying for a security system that does not work. Don't do it. Don't buy from them or change your services to theirs.",Yelp,1.0,2022-09-14T22:48:48Z,Kathy G.,1.0,0.0,3,,OR,App is Not Fraud,The review entered is Fraudulent.,0.1,0.791,0.109,,0.89150196,0.09965446,0.00884361
Precision Home Pros Austin TX,0x8644d31c9cad1b55:0xa326773a55664a38,"['Home improvement store', 'Audio visual equipment supplier', 'Electric generator shop', 'Home automation company', 'Solar energy equipment supplier', 'Water filter supplier']",,4.8,"205 W Louisiana St STE 103, McKinney, TX 75069",230,Precision Home Pros Austin TX,,Eric was very honest about the pricing! He also set me up with better service and saved me money which is amazing! This program makes perfect sense! Thank you Eric you’re amazing!,Google,5.0,4 months ago,betty Sheets,,,1,0.0,CG,App is Not Fraud,The review entered is Fraudulent.,0.0,0.508,0.492,,0.0016574587,0.006517327,0.9918252
